,text_token,toxic,severe_toxic,obscene,threat,insult,identity_hate
4291,กุต้องอดกินนมกล้วยจริงออวะ,0,0,0,0,0,0
9704,platooเออมึงพูดถูกอยู่ต่อลุงตู่ก็รวยขึ้นรักลุงตู่พวกมึงก็ต้องไปคอยเก็บสบู่ตอนมันอาบน้ำด้วยนะไอ้หมูตอนน้ำเหลืองเยิ้มน่ารังเกลียดสัส,1,0,0,0,0,1
759,หะแอบขายhimarsนี่เหรอครับอะไรจะปัญญาอ่อนได้ขนาดนั้นhimarsไม่ใช่รถไถนาจะได้ขายได้ซื้อได้ขับกันง่ายเด้ออีกอย่างคือรถมันใช้ระบบคอมสื่อสารผ่านดาวเทียมทางทหารของอเมริกามีเหรอที่เมกาจะไม่รู้ว่าตอนนี้มันอยู่ไหนดีไม่ดีเมกาจัดการเป้าหมายเองยูเครนแค่ขับไปยังจุดยิง,0,0,0,0,0,0
1385,ยั่วเกย์อุดรเกย์อุดร,0,0,0,0,0,0
654,เฉยไม่รักไม่เกลียดเสือกไปชูป้ายรักเมิงปัญญาอ่อนแล้วแหละ,1,0,0,0,0,0
1201,อ้วนแบบนี้ชอบจะเย็ดให้ผอมเลย,1,0,1,1,0,1
2413,ทำไมไม่มีฉากแต่งงานฮ่วยมันขัดใจหลายเด้ออหมั้นหลายทีมันต้องมีงานแต่งให้เห็นบ้างเส้ดาราจักรรักลานาใจ,0,0,0,0,0,0
3316,อ่านรายละเอียดกระทืบสาหัสแหกตาตำรวจพยานลับโหนกระแสหนุ่มถูกอริลากเข้าบ้านรุมกระทืบสาหัสจัดฉากแหกตาตำรวจแต่โป๊ะแตกเพราะพยานลับ,0,0,0,0,0,0
5446,หนังโป๊ไทยเลสเบี้ยนสองสาวกับควยปลอมแลกลิ้นเกี่ยวเบ็ดหีแหย่ให้แฉะแล้วผลัดกันโดนควยปลอมกระทุ้งเย็ดแรงจนน้ำหีไหล,0,0,1,0,0,0
5229,ว้ายยเลิกมั่นควยจ้า,1,0,0,0,0,0
5502,น่ายั่วควยมาก,0,0,1,0,0,0
3281,สนใจสอบถามแอดไลน์มีนำหน้าด้วยนะค่ะหรือdmได้เลยค่ะซมงับพิ้งกี้lisaโป๊ปไอซ์โหนกระแสดาราจักรรักลานาใจส่งใจให้ไบร์ทวินไปlolงานออนไลน์ได้เงินจริงรายได้เสริมjenlisabornpinkหางานเสริมทาที่บ้านงานออนไลน์ได้เงินจริงหารายได้เสริม,0,0,0,0,0,0
3044,ต้องการน้องชงเหล้าเอนเตอเทรนแม่สอดตากlineoniแม่สอดชงเหล้าแม่สอดชงเหล้างานชงเหล้าเพื่อนเที่ยวพริตตี้โคโยตี้นายกเถื่อนโหนกระแสอิงฟ้ามหาชนปีแล้วนะไอ้สัสอิงฟ้ามหาชน,0,0,0,0,0,0
2830,จะเปิดหน้าลูกหรือไม่เปิดนั่นก็เป็นสิทธิของพ่อแม่แต่สิทธิส่วนบุคคลความเป็นส่วนตัวของลูกก็อยู่ที่พ่อแม่จะใช้วิจารญานห้ามกันไม่ได้แต่ประเด็นการตอบคำถามเรื่องนี้จะน่ารักจะสวยกว่านี้ถ้าไม่เกิดการแซะคนอื่นนั่นแหละฮะชีปโดนแซะแรงมากในfbแต่ละเพจอ่านแล้วได้แต่เฮ้อดิวอริสรา,0,0,0,0,0,0
9864,ไม่ได้เกลียดเคมีชอบเคมีเหมือนเดิมแต่เกลียดเมดเคมยากชิบหายวิชาเหี้ยไรเนี่ย,1,0,0,0,0,0
328,ปัญญาอ่อนเขาใจนะว่ากฏระเบียบแต่คือแบบย่อยเกินไปมั้ยอะ,1,0,0,0,0,0
8137,ยิงแล้ว,0,0,0,0,0,0
6225,น้ำยาฆ่าเชื้อตัวนี้ของzofloraกลิ่นbouquetกลิ่นหอมมากซื้อมาลองใช้สรุปติดกลิ่นดิฉันใช้ผสมกับน้ำใส่ฟอกซี่ฉีดไปเลยจ้าจะเช็ดโต๊ะทำงานหรือจะผสมน้ำถูบ้านทำได้หมดฆ่าเชื้อได้ถึงบ้านหอมสะอาดไปเลยดีแนะนำควรมีค่ะไว้รีวิวห้ามขายของโว้ยยใช้ดีบอกต่อ,0,0,0,0,0,0
5340,หลุดหนังโป๊นอกบทกับนางแบบน่าเย็ดมันอดใจห้ามควยใหญ่ไม่อยู่จริง,0,0,1,0,0,0
2063,อันไหนไม่เข้าตาไม่มีตัวตนก็บล็อคสิคร้าบบรอไรเกินต้านจริงบล็อคเก่งเหมือนเราเลยป๊ายปายโอริโอ้นุ๊กปายคุยแซ่บโชว์xนุ๊กปาย,0,0,0,0,0,0
8522,กูไม่เก่งไม่เก่งเลยอาทิตหน้าแข่งแล้วโคจรไม่มั่นใจกูกากจะตาย,0,0,0,0,0,0
3033,ประวิตรนั่งรักษาการนายกหลังศาลสั่งประยุทธ์หยุดปฏิบัติหน้าที่ตั้งแต่วันนี้เพิ่มเติมได้ที่ประวิตรโหนกระแสนายกเถื่อนม็อบสิงหา,0,0,0,0,0,0
8542,อ้ากกกกคุนออรันนนนนนคือากากห้ดาห่สกห่ดกสาดหทีแรกไม่กล้าขอเพราะคุออรันไม่ได้มางานค่ะttกลัวคุออรันเป็นห่วงเด็กแต่ถ้าสะดวกให้ยืมจะดีใจมากเลยค่ะแง,0,0,0,0,0,0
4863,แอคนั้นที่แคปในตตมาลงเรื่องหน้าชาไรนั้นส่องโควทแล้วกูขำติ่งชมพูมาทุกด้อมอัมมี่เนียนแซะอกแตกตายเลยดิตอนล้อเมนกูไม่มีใครเดือดร้อนนะติ่งเกาหลีนี่มันน่าหนังหีจริง,1,0,0,0,1,0
3463,พร้อมส่งpolaroiddebiblebuildไบเบิ้ลบิวใบละบาทสนใจdmได้เลยค่าาาตลาดนัดคินน์พอร์ชตลาดนัดbocไบเบิ้ลบิว,0,0,0,0,0,0
4593,นมสวยเลย,0,0,1,0,0,0
1281,โปรเฉพาะส่งพัสดุเท่านั้นขวดเหมาส่ง️⃣สินค้าใหม่น้ำยาเต็มขวดกลิ่นสนใจไลน์viagraupoppersป๊อบเปอร์เกย์นัดเย็ดกรุงเทพรับงานรังสิตไวอาก้าหมาแดง,0,0,0,0,0,0
3019,อยากรู้มหาลัยอะไรที่มีคะรัฐศาสตร์ซื้อวุฒิหมื่นคนกู้กยสเรียนเป็นหนี้แสนทางลัดทางประหยัดก็มาค๊าาาาาโหนกระแส,0,0,0,0,0,0
3029,กูเศร้าที่สิ่งที่เขาพูดมันจริงทุกบรรทัดหลุดพ้นได้อย่างเดียวก็คือย้ายประเทศไม่ก็พวกมันตายห่าไปหมดแล้วซึ่งยากชหนายกเถื่อนปีแล้วนะไอ้สัสปีประยุทธ์โหนกระแสประยุทธ์ออกไป,0,0,0,0,0,0
8102,mpcโดนหอมแก้มก็หายทำหน้าบึ้งแต่ความจริงแล้วเขาก็ไม่ได้อารม์เสียหรอกร่างสูงโปร่งเดินมายังซุ้มยิงปืนเห็นท่าทางแฟนสาวดูดี๊ด๊ากับตุ๊กตายูนิคอร์นก็แปลกใจมองหน้าอีกฝ่ายราวกับจะถามว่าเธออยากได้เจ้านั่นเอาสิ,0,0,0,0,0,0
2636,ชายหยวนร้องเพลงเพราะมากnewostเพลงของหยวนซานเจี้ยนหลี่อวิ๋นรุ่ยlovelikethegalaxy星汉灿烂ดาราจักรรักลำนำใจดั่งห้วงสมุทรลิขิตจันทรา疑商夫妇xinghancanlan,0,0,0,0,0,0
3745,ควยรวยคใยรน้ำกูจัง,1,0,0,0,0,0
8009,khepriมาเลยเหมียวเมสสสเชิญมายิงอีบาซ่าได้เลย,0,0,0,0,0,0
7197,กุก็คิดนะว่าย่าจะคิดรึเปล่าว่าการตายของตัวเองทำไมลูกหลานถึงชิงดีชิงเด่นกันอยากได้หน้าในเมื่อย่าไม่มีสมบัติอะไรให้เพราะบริจาคให้วัดหมดแล้วแต่เค้าตายเพราะมีลูกหลานเวรแบบนี้ก็ดีตะได้ไม่เหนื่อยอีกต่อไป,0,0,0,0,0,0
3018,ยศแค่สตทแต่คนรอบตัวเรียกมาดามโหนกระแส,0,0,0,0,0,0
2945,จริงม่ะม็อบสิงหาประยุทธ์ออกไปประวิตรออกไปประวิตรโหนกระแสศาลรัฐธรรมนูญ,0,0,0,0,0,0
8059,เพราะอิลูกเขียวต้องใช้ธนูยิงแต่น้องคอลเล่ตอนนี้โดนมอนตีทีเดียวเลือดเกือบมิดหลอดให้ลูมีนออกโรงไปก่อนนะลูก,0,0,0,0,0,0
4075,อยากโดนผู้หญิงอมควย,0,0,1,0,0,0
7269,mตายกี่รอบละyugyeomstliveinbkkdyugyeomstliveinbkk,0,0,0,0,0,0
2663,ชอบตำนานรักนกยวนหยางเกราะดำlovelikethegalaxyดาราจักรรักลานาใจดั่งห้วงสมุทรลิขิตจันทราอู๋ลู่จ้าวลู่ชื่ออู่เหล่ย,0,0,0,0,0,0
8430,โทรเสนอโปรเก่งแต่เน็ตกากสุดในสามโลกงงมาก,0,0,0,0,1,0
1282,พิษุโลกเกย์พิดโลกชายรักชาย,0,0,0,0,0,0
8805,เอ่อกูจะเลิกคิดว่าตัวเองโง่ได้ยังกูจะเลิกรู้สึกอึดอัดที่นั่งว่างได้ยังอีควายรำคาญจะนั่งโง่ยังต้องเครียด,1,0,0,0,0,0
1362,มีเก็บปลายทางเพิ่มเงินบาทส่งฟรีทุกรายการป๊อปเปอร์แท้สูดดมป๊อปเปอร์เกย์เกย์รุกเกย์เงี่ยนlgbtpopperpwdอึดทนเบิ้ลรอบชะลอหลั่งคลิปด้านมืด,0,0,1,0,0,0
8878,กุจะอ้วกบอกอีตู่อุตส่าทำงานถึงปีอีควายหยุดโง่อีสัสมันเหี้ยนายกดีเหี้ยอะไรจะอวู่มาปีตอแหลสุด,1,1,0,0,1,0
1437,อยากเย็ดใครสักคนจะมีอีหนูคนไหนให้พี่เย็ดไหมคะชายก็ดีหญิงก็ดียืมเมจforlbยืมเมจfosrexยืมเมจforเย็ดยืมเมจforncยืมเมจforncยืมเมจforsrexเรียลชายเกย์,0,0,1,0,0,0
9799,แบบนี้มันน่าเกลียดไปมั้ยวะ,0,0,0,0,0,0
9325,จิตใจมนุษย์มันยากที่จะเข้าใจบางครั้งแค่เราพูดแบบปากร้ายใส่มีคนชอบเราบางครั้งเราพูดดีใส่หาว่าตอแหลบางครั้งแค่อยากแกล้งเล่นมันเป็นจริงจังทุกวันนี้เราก็เป็นคือเราก็พอถ้ามันไม่ดีก็ชั่งมั่วแต่แคร์คนอื่นมากตัวตนเราก็จะหายไปตลอดการ,0,0,0,0,0,0
56,ท่อนสุดท้ายมีความthefaceอยู่นะกะเทยเตรียมรับความปังน้องอาฟเต้อไล๊,0,0,0,0,0,0
8836,พังไม่ไหวไอ้ควายเกลียดวิจัย,1,0,0,0,0,0
8630,กูไม่มูฟออนจริงนะคือแบบไม่ได้สนใจใครมานานมากกกกกกพอมีขึ้นมาก็เป็นงี้อะเป็นบ้าทำไงให้เขาสนใจวะสตอรี่กูเขาก็ไม่มาอ่านกูอุตส่าห์ลงให้เขาดูปกติกูก็ไม่ลงฮ่วยอยากทักก็ใจกากเซคนึงคนก็ไม่ใช่น้อยอาทิตย์หน้าไม่รู้จะได้นั่งใกล้กันอีกป่าว,0,0,0,0,0,0
5981,น่าเย็ดมาก,0,0,1,0,0,0
1844,รีวิวการดูรายการคุยแซ่บโชว์อยากกรี๊ดมากอยู่โรงเรียนก็กรี๊ดไม่ได้กลัวนักเรียนมองอยู่บ้านก็กรี๊ดไม่ได้แม่กับยายจะว่าก็เลยได้แต่กรี๊ดในรถคนเดียวคุยแซ่บโชว์xนุ๊กปาย,0,0,0,0,0,0
8568,fanartโกฮังbeastทำท่าmakankosappoจากdragonballsupersuperheroเพียบเลยสมเป็นลูกชายปิ๊กโกโร่ส่วนปิ๊กโกโร่มะม่วงสุกก็ปล่อยไปก่อนรอดูของจริงอีกทีว่าจะเก่งจริงมั้ยร่างกล้ามปกติมันจะเทอะทะต่อยหนักและมักจะต่อยโดนแค่หมัดแรกแล้วจะกากลงทันที,0,0,0,0,0,0
8729,โน่มินอีควายนี่,1,0,0,0,0,0
8679,ควายดิ้นดีใจอ่ะปั่นหัวควายเล่นสนุกจังไม่เหงาแล้ว,1,0,0,0,0,0
2880,ไม่เข้าใจคนที่ไปแซะแบบสนุกปากคือต้องการอะไรก่อนลูกเขาเขามีสิทธิ์ตัดสินใจดิวอริสรา,0,0,0,0,0,0
1743,อยากโดนเย็ดปากอ่ะค้าบบ️เกย์เย็ดปากเด็กขี้เงี่ยนควยมัธยม,0,0,1,0,0,0
8547,เทอรู้มั้ยทุกครั้งที่คิริชิมะเอาตัวมากันบาคุโกไว้แม่งซีนพระเอกที่สุดเลยไม่ว่าใครจะด่าเขาว่าทึ่มกากหรืออะไรก็แล้วแต่ก็เรื่องของแม่มึงปากเปรตจังนะอิห่านี่เป็นเหี้ยอะไรเอ่ยเออิจิโร่เขาสมควรได้รับโลกทั้งใบนี่ด้วยซ้ำ,0,0,0,0,0,0
3615,กูเกิ้ลยังชิปไบเบิ้ลบิวไบเบิ้ลบิว,0,0,0,0,0,0
7817,คือสำหรับกุอะโอมเป็นคนที่หล่อมากหล่อแบบหล่อโว้ยหล่อยันชื่อจริงละวันนี้มายิงธนูอะไรเท่ไม่ไหวกุเขินyytheadventureplusep,0,0,0,0,0,0
3837,ควยใหญ่อมเพลิน,0,0,1,0,0,0
740,ช่างแม่งเหอะมันอยากจะคิดรัยก็ปล่อยมันไร้สาระปัญญาอ่อนทำชีวิตทุกวันให้รอดและแก้ไขปัญหาให้ผ่านไปให้ได้ก็พอจะอยู่รึจะไปก็ขอบคุ,1,0,0,0,0,0
9596,อิแม่หมอมันบอกจะชนะไอติมตอแหลโคตร,0,0,0,0,1,0
4228,คิดถึงปะป๊าอยากโดนป๊าเย็ดใจจะขาดแล้วฮะชาเงี่ยนแล้วทำอะไรไม่ได้เลยได้แต่นอนเล่นนมตัวเองแล้วถูควยน้อยกับที่นอนรอปะป๊าเลิกงานกลับมาหวังว่าปะป๊าจะมาเย็ดหนูในสภาพนี้นะฮะรูของหนูต้องการควยปะป๊ามากnsfwยืมเมจfosrex,0,0,1,0,0,0
5129,ขนหีสวยจริง,0,0,1,0,0,0
1624,พอจะเป็นเด็กดื้อของพี่ได้ป่าวเกย์เกย์เชียงรายนัดเย็ดเชียงรายนัดเย็ดบ้านดู่เชียงรายนัดเจอfwbเชียงรายเชียงรายนัดเย็ดเชียงรายหาคู่นอน,0,0,1,0,0,0
524,ใช้ชีวิตแบบที่ชอบคือปัญญาอ่อนอยู่กับเพื่อนเริ้ฟ,0,0,0,0,0,0
6840,ใครมันกล้าทำน้องดูน้องมันแสนดีขนาดนี้มาตบกับกูเลยมา,0,0,0,0,0,0
4372,แล้วคือไม่กินนมจะเอาแต่ขวด,0,0,0,0,0,0
5636,อมควยให้แตกแล้วค่อยแยกกันเกย์โคราชนัดเยสสวนป่าเกย์โคราชเกย์โคราชเอ้าดอร์,0,0,1,0,0,0
9269,ฅนดีที่ต้องลี้ภัยการเมืองของตอแหลแลนด์จะเก่งแค่ไหนก็กลับเข้าปทไม่ได้ถ้าอำนาจพิเศษเหี้ยมันไม่ยอมนอกเสียจากจะไม่มีมันและพวกมัน,1,0,0,0,0,0
5269,อยากช่วยอีกควยคับ,1,0,0,0,0,0
435,ปัญญาอ่อนจังเลยค่ะ,1,0,0,0,0,0
6260,ทไวซ์ไม่เคยฆ่าคนทไวซ์ไม่เคยด่าใครเสียหายทไวซ์ไม่เคยมีข่าวยุ่งเกี่ยวยาเสพติดชีวิตพวกพวกนางมีแต่ความสดใสสวยรวยเก่งมีเหตุผลเหี้ยไรที่ทำให้พวกมึงเกลียดกันเค้าไปทุบหัวพ่อแม่มึงตายเหรอหรือแค่หวงควยเลยไม่สนอะไรของกูงี้ตื่นเถอะค่ะฝันนานไปละเค้าไม่มีวันเป็นของมึงหรอก,0,0,0,0,0,0
5211,ชอบผู้ชายควยสวยอะมึงเข้าใจมั้ย,0,0,1,0,0,0
308,อย่าคิดไปเองว่าอยากอยู่ปัญญาอ่อน,1,0,0,0,0,0
1565,เกย์,0,0,0,0,0,0
2631,ชอบปยนี้ของตรงจุดสุดเพราะไม่ว่าเรื่องอะไรพร้อมไปกับอะเข้าใจว่าอยากปกป้องแต่คือทั้งเข้าใจทั้งปรับตัวทั้งช่วยถึงจุดนี้แล้วก็ยังเลือกที่จะทิ้งเจอปยไม่เสียใจของไปเป็นนี่ก็ขอถอนหมั้นเด้อlovelikethegalaxyดั่งห้วงสมุทรลิขิตจันทราดาราจักรรักลานาใจ,0,0,0,0,0,0
5814,หนังโป๊เย็ดหีหลานสาวเพื่อนดื้อแอบหนีเที่ยวxxxporn,0,0,1,0,0,0
4601,faizaอืมถ้าเป็นดาร์กก็กินได้กินได้แหละกินได้เมื่อเห็นว่าเอาลูกอมออกมาก็เลื่อนมือไปรับแทนแบบเนียนพอดีว่าเราแพ้นมหน่ะเลยกังวลนิดหน่อยแต่ว่าจะให้กินช็อคโกก็ได้นะไม่สิอ่ยเรายินดีรับมากนะขอบคุมากจริงเขาดูล่กไปหมดเพราะไม่อยากให้อีกคนเสียใจที่รับของไม่ได้,0,0,0,0,0,0
401,เลิกไม่ได้แล้วค้าบทรงปัญญาอ่อนของน้องชอบจังอ้อแอ้กับพี่,1,0,0,0,0,0
9629,กูก็ตอแหลว่้ากูโง่ไปงั้นแหละในห้องสอบวิชานั้นกุเขียนยิบดีเอนเออยู้บนข้อสอบ,0,0,0,0,0,0
3068,นี่ยอมไม่เรียนต่อเพราะเรื่องเงินและคิดว่าไม่น่าไหวแต่คุเธอซื้อเอาแค่ฉันปวดใจโหนกระแส,0,0,0,0,0,0
881,อ้วนแล้วไม่เงี่ยนบ้ออยากปล่อยน้ำตั้วะfwbfwbศีขรศีขรภูมิศีขร,0,0,1,0,0,0
434,อึปัญญาอ่อน,1,0,0,0,0,0
7386,คลิปนานแล้วแต่เพิ่งมาลงสตอรี่เก่งอะแอคนั้นแอคนั้นและแอคนั้นอกแตกตายแล้ว,0,0,0,0,0,0
3686,กูก็ขำมึงเหมือนกันอุบาวท์มากตคสตุ๊คควยสวด,1,0,0,0,1,0
7553,ฆ่าได้ฆ่าเลยนะพิน่อตายกันเรียบ,0,0,0,0,0,0
8555,ใช้แอพอะไรถ่ายอะครับที่มีฟิลเตอร์หน้ากากดำแบบนี้อะครับ,0,0,0,0,0,0
7185,เหตุการ์วุ่นวายเหมือนตายวันแรกกดได้เล่มแบบงงและตกใจไม่ได้คาดหวังเพราะนั่งกินข้าวรอเรียนคลาสต่อไปและเอนจอยอีทติ้งอยู่มากกดได้ปุ๊ปคือกรี๊ดสะบัด,0,0,0,0,0,0
5956,คลิปเคยฉาวฝรั่งเล่นรักบนหาดจอมเทียนที่พัทยาเมาแล้วยกล้อเย็ดกับแฟนกลางวันแสกแบบไม่อายไครหมายังนั่งงงเป็นแถว,0,0,1,0,0,0
5769,สวัสดีค่ะเมืองแพร่พร้อมนัดค่ะขอคนจริงนะพร้อมนัดวัคซีนครบมีน้องให้เลือกหุ่นxน่าเย็ดน่าอกตุ๊บเอามันส์idรับงานแพร่ไซด์ไลน์แพร่,0,0,1,0,0,0
288,theeverydayโหยยยยยเลื่อนมาเจอกรี้ดดดดลั่นเลยคนในบ้านตกใจนึกว่าเป็นไรพอเอารูปให้เขาดูบอกเราปัญญาอ่อน,0,0,0,0,0,0
5640,ผู้ชายควยยาวมาก,0,0,1,0,0,0
9432,รรงค์อย่าคุกคามเพศไหนแต่คนออกกำลังกายคนเล่นกีฬาอยู่ดีต้องมาเจออิพวกหิวซีนชงคุกคามชงหาแสงเข้าตัวเองสันดานใจอยากปากตอแหลมันทุกตัว,1,0,0,0,1,0
2623,เปิดหารwetvvipเดือนexpressนะคะบาทค่ะดาราจักรรักลานาใจดั่งห้วงสมุทรลิขิตจันทรา,0,0,0,0,0,0
6169,คำถามแค่ถามเฉยยังไม่ได้ด่าหรือแซะเดี๋ยวถ้าด่าหรือแซะจะแจ้งให้ทราบทำไมคนไทยหลายคนหลายalreadymeansnotallถึงได้คิดว่าคนชาติอื่นespคนขาวมีจิตสำนึกกว่าคนไทยอ่ะทั้งที่เห็นว่ากฎหมายเขาแรวการบังคับใช้เข้มงวดอีฝรั่งขาวมาเมืองไทยก็ทำสันดานอุบาทว์กันเยอะเช่นเย็ดเด็ก,0,0,1,0,0,0
476,เบื่อทำไมเราต้องทำทุกอย่างด้วยคนอื่นเขาก็ช่วยกันเหนื่อยเหมือนกันบอกให้มาทำช่วยกันละมางอนมึงปัญญาอ่อนรึเปล่า,1,0,0,0,0,0
7290,นอนจนเหนื่อยไข้ยังไม่ลดตั้งแต่เมื่อวานกูตายได้ยังหลานก็ยังไม่กินข้าวต้องหอบสังขารมาทำให้กิน,0,0,0,0,0,0
9316,พวกotแต่นี่มันตอแหลจิง,1,0,0,0,1,0
8826,ไอ้ควายเขาเริ่มขายบ่าย,1,0,0,0,0,0
6984,ถ้าเจอคนด่าขนาดนี้คือกูตบปากตามจำนวนอายุขัยแม่งละนะ,0,0,0,1,0,0
3208,ใครกำลังมองหางานทำอยู่ใช่ไหมคะรายได้ขั้นต่ำเงินเข้าธนาคารโดยตรงงานถูกกฎหมายไม่จำกัดอายุทำได้ตลอดชมสนใจรีเดมมานะคะโป๊ปไอซ์โหนกระแสงานออนไลน์หางานออนไลน์ฟรีหาเงินเข้าบัญชีนักเรียนนักศึกษารายได้เสริมปาทูรีทวิต,0,0,0,0,0,0
737,งงไอเหี้ยปัญญาอ่อน,1,1,0,0,0,0
4321,เพิ่งรู้ว่าฟองนมมีฝาแฝด,0,0,0,0,0,0
6030,คลิปหลุดน้องมีนาสาวคอสเพลย์สุดฮอตใส่แว่นหน้าสดโดนแฟนหนุ่มจับเย็ดสด,0,0,1,0,0,0
6803,กลัวเมียมันเสียระบบคุเคยโดนเมียตบจนระบบเสียมั้ยจ๊ะsweetlovetogetherenglottexmadamefin,0,0,0,0,0,0
