Column1,comment_text,hashtag,toxic,severe_toxic,obscene,threat,insult,identity_hate,non_toxic
38,เสียงวอนยองฉ่ำมากกะเทยเตรียม,,0,0,0,0,0,0,0
39,กะเทยอวยอีกกกกก ขออวยเยอะ ๆ อย่าหยุด,,1,0,0,0,0,1,0
40,ถ้าไม่แมสที่เกาหลีแสดงว่าที่เกาหลีไม่มีกะเทย,,0,0,0,0,0,0,1
41,กะเทยเกาหลีเยี่ยวราดหมดละ https://t.co/KfGNsW8uRd,,1,0,0,0,0,1,0
42,อาฟเต้อยำอ่อมแก่มากยกเว้น chorus bar9 ที่เป็น sam ของ I will survive อ่ะ กะเทยชอบแค่ท่อนนี้ ณ ตอนนี้นะ,,0,0,0,0,0,0,1
43,พรุ่งน้งไอ้บคัม คอสตูมขอเดรสแบบสะบัดๆ กะเทยไปเหมาผ้าเมตรมาด่วน,,0,0,0,0,0,0,1
44,กะเทยมากจริง  https://t.co/AAheqARj6S,,0,0,0,0,0,1,0
45,กะเทยมากกกกกกกก,,0,0,0,0,0,1,0
46,"กะเทยจ้องตาเป็นประกายละ ปล่อย MV วันแรกไม่ถึง 10 ล้านพี่ขอไม่หยุด
 https://t.co/eU9Y7jYBLc",,0,0,0,0,0,0,1
47,ชอบความสดใสสไตล์ซัมเม้อ แต่ดนตรีมีความกะเทยลุกเต้น โอ้ยยน้องไอบึกินรวบทั้งหมด,,0,0,0,0,0,0,1
48,ตีตลาดกะเทย https://t.co/dQADh0WK5q,,0,0,0,0,1,1,0
49,กุชอบดนตรีมาก ด้วยความกะเทยด้วยมั้ง เนื้อร้องยังไม่ค่อยเท่าไหร่ แต่ยู้ฮูคือติดหูละ ขอท่าเต้นคัน ๆ กะเทย ๆ หน่อยคือได้เลย,,0,0,0,0,0,0,1
50,กะเทยด่าแรงกว่านี้ได้มั้ย ตอนเลิ้บไดบ์ด่ากันทั้งแผ่นดิน อีสัส ขอเจิมแรงๆ,,1,0,0,0,0,0,0
51,ถามว่าคัมแบคนี้ใครตายคะ ตอบ กะเทยค่ะ เต้นกันไม่หวัดไม่ไหวนะ กะเทยทั่วโลกชีเริ่มละ https://t.co/yZNSX80eQG,,0,0,0,0,0,1,0
52,น้องอตล.ฟีลดีมากมึง แต่กะเทยไม่เทสแน่ เชื่อกุ,,0,0,0,0,1,0,0
53,After Like เพลงกะเทยมากสุด แต่เกาหลีไม่มีกะเทยคือพี่เครียดละ https://t.co/8RPqvX7z9S,,0,0,0,0,1,0,0
54,ดนตรีนางโชว์มากกกกกกกก กะเทยมามุงด่วน เพลงเหมาะเอาไปเปิดตอนเดินแบบสุด ๆ  https://t.co/7x1f7Ps74l,,0,0,0,0,0,1,0
55,"แตกให้พี่ขาประจำแบบหมดแม็ค
แทบคลานออกจากห้อง
❤ขอบพระคุณที่รีทวิตให้คับ❤
พ่อม้ายนครปฐม 41
ลูก1 ควยยาวไม่ใหญ่
✅รับนวดกระเสียว
✅รับเปิดก้องว่าว
✅ขายของเซกทอย
❌งดเกย์สาว❌กะเทยสาวสอง
 
#นครปฐม 
 #แมคโค https://t.co/CjzVNGo9X5",/นครปฐม/แมคโค,0,0,1,0,0,0,0
56,ท่อนสุดท้ายมีความ the face อยู่นะ กะเทยเตรียมรับความปังน้องอาฟเต้อไล๊,,0,0,0,0,0,0,0
57,สาแก่ใจกะเทยชิบหาย เอาให้ตายไปข้าง ฟังแล้วอยากแปลงร่างสุดๆ  https://t.co/mbo6A8Zygp,,1,0,0,0,0,1,0
58,มึงกะเทยเกาหลีจะอยู่ยังไงอะ ออกมาด่วนๆ ถึงเวลาของเทอแล้วค่ะ https://t.co/xmlRMOu1OV,,0,0,0,0,0,1,0
59,เพลงดีมากเสียงร้องมันเบาๆนุ่มๆหีเคียวกรุบละดนตรีกะเทยต่อท้ายเต้นแบบยั่วๆ ตายๆแตกแตนกะเทยมักกะเทยซื้อ https://t.co/EJLZhx96Ih,,0,0,1,0,1,0,0
60,กะเทยชีพร้อมแกะท่าละ ดนตรีได้มาก 55555555555555555 https://t.co/yZNSX80eQG,,0,0,0,0,0,0,1
61,กะเทยทั่วโลกฟังแน่นอนจร้า https://t.co/8uYSst79DK,,0,0,0,0,0,0,1
62,คิดว่าเพลงเต็มน่าจะมีท่อนคิลลิ่งพาร์ทเยอะ ไม่เรียบแน่นอน กลิ่นความเคียวโกะมาเต็มๆ กะเทยไม่ผอดหวังแน่นอนค่ะ,,0,0,0,0,0,0,1
63,เพลงน้องไอบึคือกะเทยมากกกกก มาแน่,,0,0,0,0,1,0,0
64,เพลงเริ่ดไปป้ะ กะเทยมากกกกกก https://t.co/E8PQZzDWjy,,0,0,0,0,1,0,0
65,ชอบนะ เพลงจริตกะเทยมาก https://t.co/9hyXxIg1MI,,0,0,0,0,1,0,0
66,มาเอาใจกะเทยสุด เสียงน้องวอนยองสดใสซัมเมอร์มาก ท่าเต้นออกมาสับๆ เตรียมแมสทั่วเกาหลี ถ้าช้าตไม่ดีอิเกาหลีไม่มีกะเทยhttps://t.co/xCx148rOtO,,0,0,0,0,1,1,0
67,After like แป้กกูเกียมหงายการ์ดเกาหลีไม่มีกะเทย,,0,0,0,0,0,0,1
68,อาฟเต้อยำดีมากเพลงกะเทยมากความตอแหลตอใจนี่แหละเพลงกก.ที่กะเทยไทยถามหานางมาต่อยอดเลิฟไดฟ์ละมึง,,0,0,0,0,1,0,0
69,อีดอกนึกว่าจะระเบิดแบบตู้มๆๆไม่อั้นเยี่ยวปล่อยให้กะเทยฉี่แตกอะ,,1,0,0,0,0,1,0
70,กรี๊ดดดกุชอบเพลงไอบึมากกะเทยสุด,,0,0,0,0,0,0,1
71,อีเหี้ยเพลงตอแหลมากกะเทยมาก กะเทยไม่ผิดหวังอีดอก https://t.co/8OnbFrc1oJ,,1,0,0,0,1,0,0
72,after like กะเทยมาก กะเท๊ยย!!,,0,0,0,0,1,0,0
73,"ช้อตฟีลมั้ยไม้รู้แต่ดนตรีกะเทยแหงๆๆ

#IVE #아이브 
#AfterLIKE #애프터라이크 https://t.co/LDHAqoNGyi",/IVE/아이브/AfterLIKE/애프터라이크,0,0,0,0,0,0,1
74,ไลน์เต้นโรเส้อยู่หลังแค่ไหนก็เด่นนะ ลูกกะเทยมันเริ่ด https://t.co/cCs9M0UHyf,,0,0,0,0,0,0,1
75,กะเทยแกะ #PINKVENOM กันได้ละเหรอ ไวเว่อ เก่งมากกกก,/PINKVENOM,0,0,0,0,0,0,1
76,อีดอกอาฟเต้อไล้ไม่เทสกุเลยนึกว่าออกกะเทยกว่านี้,,1,0,0,0,0,0,0
77,กะเทยตั้งโต๊ะลงคะแนนละ https://t.co/XS9rhF4QHL,,0,0,0,0,0,0,1
78,@ajhiso อีชุดแดง น่าเหี้ยมาก น่ากลัวอ่ะ เหมือนกะเทยฉีดหน้ามาแล้วพัง สยอง,,1,1,0,0,1,1,0
79,อยู่ไหนอ่ะ ไดบึลูก กะเทยมันวีนกันแล้ว,,1,0,0,0,0,0,0
80,แกล้งกะเทยไดบึละ,,1,0,0,0,0,0,0
81,กะเทยทั่วโลกโดนอ้าฟเต้อไลค์แกงละ,,0,0,0,0,0,0,1
82,หลอกกะเทยละ,,0,0,0,0,0,0,1
83,4 โมงเวลากะเทยสุด,,0,0,0,0,0,0,1
84,ลิซ่าสวยจริงแต่กะเทยรีแอคแล้วดูไม่จริง กุงง555555555555555555555 https://t.co/a8Df9glezn,,1,0,0,0,1,0,0
85,กะเทยสิ้นรูพอลแดรกเรซจะหลัดนฟไทยแลเวทุกคน,,1,0,0,0,0,0,0
86,กะเทยฟื้นแล้วค่ะ,,0,0,0,0,0,0,1
87,5555555555กะเทยเด่กมันกวนตีนอ้ะ,,1,0,0,0,0,1,0
88,กะเทยคือเตรียมชุดดูไลฟ์กี่ชุดอ่ะ คิดเอา,,0,0,0,0,0,0,1
89,inki แตกแน่มึงเอ้ยยย กะเทยรวมตัวกันโดยมิได้นัดหมาย https://t.co/GY0U1INJ0h,,0,0,0,0,0,0,1
90,กะเทยหัดเต้นพิ้งเวน่อมด่วน เพลงขึ้นต้องเต้นได้,,0,0,0,0,0,0,1
91,@madlyinloveFFFF คือสวย กะเทยอย่าแกล้งแนท,,0,0,0,0,0,1,0
92,"Top Tweet: แม่เขื่อน ภัทรดนัย ไม่โกรธถูกด่าลูกเป็นกะเทย ถ้าไม่ชอบก็อย่าทำร้ายด้วยคำพูด https://t.co/zxF9xt9ieb, see more https://t.co/qzA21IsDnV",,0,0,0,0,0,0,1
93,สรรพนามกุกับอิเจ้ลุ้งคืองงสุดๆ กูเรียกมันเจ้บ้างออนนี่บ้าง แต่มันเรียกกูแม่ กะเทยมันนับญาติกันไม่ถูกละ สรวนกี,,1,0,0,0,0,1,0
94,ปากเรากว้างนะ 💋💋👄👅 #สาวสองมีงู  #สาวสองรับงาน #สาวเสียบ #สาวเสียบชายแท้ #สาวสองนัดเย็ด  #สาวสอง #กะเทยรับงาน #กะเทย https://t.co/cZiIx29Vyt,/สาวสองมีงู/สาวสองรับงาน/สาวเสียบ/สาวเสียบชายแท้/สาวสองนัดเย็ด/สาวสอง/กะเทยรับงาน/กะเทย,0,0,1,0,0,0,0
95,Happy 😊 เป็นกะเทยอ้วนนะคะ ไม่รังเกียจลองคุยได้ หรือเป็นเพื่อนเที่ยวก็ยินดีค่าาา #สาวสอง #สาวอ้วน #ประเวศ #ลาดกระบัง #ราม2 #กิ่งแก้ว #อ่อนนุช https://t.co/XICIy7BDXI,/สาวสอง/สาวอ้วน/ประเวศ/ลาดกระบัง/ราม2/กิ่งแก้ว/อ่อนนุช,0,0,0,0,0,0,1
96,เพิฟอิหัวนมมาได้ยังกะเทยจะได้แกะท่าเต้นสักที,,1,0,1,0,0,1,0
97,เมื่อคืนวันเกิดพวกผมสั้นผมยาวเต็มฮิปปี้ มีเสาเหล็กอยู่ต้นนึง กะเทยก็ผลัดกันปีนเสาโชว์กายกรรม celebrate สุดๆ,,0,0,0,0,0,1,0
98,แบบเริ่ดแบบสับ กะเทยกรี้ดหมด https://t.co/Tnbg495I2P,,0,0,0,0,0,0,1
99,"เหงาครัช
#FWBเชียงใหม่ #onsเชียงใหม่ #สาวสองมีงู #สาวสองเชียงใหม่ #กะเทย #เชียงใหม่นัดเจอ https://t.co/fyNu5Ji1KP",/FWBเชียงใหม่/onsเชียงใหม่/สาวสองมีงู/สาวสองเชียงใหม่/กะเทย/เชียงใหม่นัดเจอ,0,0,0,0,0,0,1
100,มิตรแท้ไม่ได้มีอยู่แค่หญิงหรือชาย     กะเทยรึทอมก็เป็นมิตรแท้ได้เช่นกัน!!!! ทุกคนมีความเท่าเทียมกันค่ะเป็นเพื่อนกันได้🤟🏻🤟🏻 https://t.co/4Q43iJp42Y,,0,0,0,0,0,0,1
101,ฟายเย้ออออจริตกะเทย5556555555 https://t.co/5NKtaCQdbv,,1,0,0,0,0,1,1
102,รอพาร์ทนางงามไม่ไหวละพร้อมตีกับกะเทยจจก็ผ่านมาแล้วคือนี่ก็ค่อนข้างเชิ่ดพอตัว,,1,0,0,0,0,1,0
103,รอเพลง ive อยู่ น่าจะกะเทยสุดๆ,,0,0,0,0,1,0,0
104,@ppnine_xx เฉลยเเล้วลอเรียลเป็นกะเทย46555,,1,0,0,0,1,0,0
105,อฟหยุดขายขำเถอะ กะเทยเค้าขำกันหมดละ55,,1,0,0,0,0,0,0
106,เมื่อไหร่ทวิตเขียวจะเข้ากุคะ เห็นทวิตเขียวกะเทยแต่ละคนในทล.แล้วอยากให้ล้มกันให้หมด โอ้ยอิจฉา,,1,0,0,0,0,1,0
107,ไม่เตะกะเทย,,0,0,0,0,0,0,1
108,@phathrphngswan7 กะเทยค่ะ,,0,0,0,0,0,1,0
109,"เมื่อเพื่อนกะเทยทักมา และชะนีในกลุ่มกะเทยอย่างฉันตอบไป

#PINKVENOM 
#FOREVER1 https://t.co/WzLWtzEuZ6",/PINKVENOM/FOREVER1,0,0,0,0,0,1,0
110,กะเทยมันเคยพอใจไรบ้าง,,1,0,0,0,1,1,0
111,กะเทยเยี่ยวแตก ฉี่ราด ปิ้ดออกมาเลย https://t.co/cmBkDxBtiS,,1,0,0,0,0,1,0
112,นจกไปเอาคำพูดคำจาแบบนี้มาจากไหนลู้กกก ‘ฉันติ้กเต็มจ่ะ’ ‘เธอทำอะไรของเธอ’ แล้วจริตกะเทยมากกกกก 😂,,0,0,0,0,0,1,0
113,พวกอีกะเทยแอนโดคัวร์มุงด่วน https://t.co/8Vitm0fnDu,,1,0,0,0,0,1,0
114,กะเทยตายเรียบ https://t.co/50j5WpLOBo,,1,0,0,0,0,1,0
115,น่อไม่ต่อยกะเทย https://t.co/86AKV623Fg,,0,0,0,0,0,0,1
116,ก็อิพวกกะเทยแก่อะมันชอบแซวกุว่ามึงกินแต่ผักเนี่ยเหมือนช้างเลยนะกินแต่ผักไม่เห็นผอมเลยพวกกุกินแต่เนื้อยังผอมกว่ามึงอีกกุแบบละกุไปแดกผักบนหัวพ่อหัวแม่มึงมั้ยอยากจะทราบผอมกว่าแล้วมันทำไมนักนหากุกินผักเพราะกุชอบและกุต้องการขี้แบบสบายรูตูดเข้าใจปะไม่ได้ต้องการผอม,,1,1,0,0,0,1,0
117,"ว่างมากๆอยากจัดสวิงจังเลยคะ...อยากจัดสวิง ชาย 2 กะเทย 1 อยากหาผู้ชายที่ทำให้กันได้หมดทุกอย่าง.. คงจะเสียวน่าดู (กี่คนก้อได้)​ทักมาได้เลยคะ.. บางนา ลาซาล แบริ่ง สำโรง Line : tarinee2528 ทักมาคุยกันคะ
#สาวเสียบชายแท้ #สาวเสียบบางนา
#สาวเสียบนัดเยสชายแท้ https://t.co/vXa6dJPNoo",/สาวเสียบชายแท้/สาวเสียบบางนา/สาวเสียบนัดเยสชายแท้,0,0,1,0,0,0,0
118,คิวปิดแผลงศรอะไดไม่ต้องพูด ท่ายืนเท้าเอวมองจิกคือจบ สรุปได้เรยว่าคอนเสปกะเทย https://t.co/DtLSiMxylA,,0,0,0,0,0,1,0
119,เพื่อนเซด กะเทยไม่ดูซีรีส์วายที่แมส ๆ กันหรอกค่ะ ไม่อิน ไม่รีเลท,,1,0,0,0,1,0,0
120,ดีลกะเพื่อนกะเทย บนต่อหน้ากะเทยว่าถ้าไ้บัตรคอนกิ้นจะให้แดกวิตามินฟรี จะได้มั้ย 55555,,0,0,0,0,0,0,0
121,เจ้เป็นตุเป็นตะมาก ถ้าไม่ใช่กะเทยหัวโปกสันดานขี้กีก็เด้กมัธอะค่ะ ชอบทำไรโง่ๆ,,1,1,1,0,1,1,0
122,กะเทยมันชอบแกล้ง,,0,0,0,0,1,0,0
123,จบิง กุเกลียดเวลากะเทยมาก ถึงจะสายก้อยากให้แจ้งยุดีอะ,,1,0,0,0,0,0,0
124,ไปเรียกกะเทยจ๊อกมาเลอ,,1,0,0,0,0,0,0
125,ตัวแม่ลูกสาวกะเทยอีกคนละ,,0,0,0,0,0,1,0
126,กุกรี้ดเยอะเหมือนกะเทยเลยอะ,,0,0,0,0,0,1,0
127,เชี่ยเอ้ยยแค่คิดตอนเค้าพาร์ทนางงามเต็มตัว กูเตียมใส่เพิสแล้วนะ เย่วแตกแน่ๆกูพูดเลย กะเทยกะชะนีนัวกันสนุกแน่ๆ ชาติแรกเลยอีผินมึงเกียมค่ะ,,1,0,0,1,0,1,0
128,"21 สิงหาคม 2565 : แม่เขื่อน ภัทรดนัย ไม่โกรธถูกด่าลูกเป็นกะเทย ถ้าไม่ชอบก็อย่าทำร้ายด้วยคำพูด

อ่านเพิ่ม : https://t.co/Czntn7XH0r

#เขื่อนเคโอติก #หมวยเขื่อน #พื้นที่ปลอดภัย #ไทยรัฐทีวี32 https://t.co/77em9It47Q",/เขื่อนเคโอติก/หมวยเขื่อน/พื้นที่ปลอดภัย/ไทยรัฐทีวี32,0,0,0,0,0,0,1
129,กะเทยกดไลก์กันแรงมากแม่,,0,0,0,0,0,0,1
130,อยู่คนเดียวเป็นชายแท้ อยู่กับเพื่อนเป็นกะเทย อยู่ห้องเป็นหญิงแท้ https://t.co/ZlcxKwyaTU,,0,0,0,0,0,0,1
131,พิมพ์กะเทยมี ร.เรือ = เป็นกะเทยจริง ๆ เพราะส่วนใหญ่กะเทยมักโง่ จบ,,1,0,0,0,1,1,0
132,@hareonnaa_ @st_runth @soyoso อันนี้น่าจะรับบทกะเทยหาร100,,1,0,0,0,1,1,0
133,"พรุ่งนี้เพลง after like น้องไอบึยังไงก็น่าจะปัง แค่ในทีเซอร์ใช้ sampling เดียวกับ I will survice, Music lover นี่กะเทยก็กรี๊ดละ มาแน่",,0,0,0,0,0,0,1
134,จะนัดใครก็ต้องดูให้ดีๆ บางคนเจอขี้คุยไม่ตรงปก แต่ส่วนมากที่เราเจอ คือเห็นแก่ตัว หวังเยสฟรี เพราะเห็นเป็นกะเทย เอาจริงๆเป็นผช.ควรมีถุงยางติดตัวไว้นะมันไม่น่าเกลียดเลยเว้ย นี่เป็นกะเทยยังต้องพกเลย ปลอดภัยไว้ก่อนมันจะดีมากนะ,,0,0,1,0,0,0,0
135,"The Driver ได้ไหม 
ทอล์กกะเทย ได้โปรด
สนใจติดต่อน้องเตนล์ไหมคะ 
อยากเห็นน้องไปออก

MC TEN IS BACK
#TENLEE",/TENLEE,0,0,0,0,0,0,1
136,ช่องยูทิวป์วันพีชที่ชอบมากอันนึง นี่ย้อนกลับไปฟังวีดีโอเก่า ๆ 3-6 ปีก่อน เนื้อหาคือดีเลยนะ แต่พอเวลาพูดถึงตัวละคนที่เป็น lgbtq+ หรือเป็นลักษณะคล้าย ๆ แต่ไม่ใช่ พี่แกก็ไม่ปิดบังความ homophobe เลยอ่ะ พูดออกมาเลยว่าน่าอึดอัดบ้าง กะเทยแก่ บ้าง เหยียดบ้าง แต่ปัจจุบันเหมือนดีขึ้นมาก,,0,0,0,0,0,0,1
137,แต่ชอบตอนเป็นกะเทยสุดๆ,,0,0,0,0,0,0,1
138,กะเทยมันเหี้ย 5555555555 https://t.co/wcsGwnueah,,1,0,0,0,0,1,0
139,เป็นคนมีหลายร่างขึ้นอยู่กับว่าตอนนั้นอยู่กับใคร สามารถเป็นผญ เป็นผช และเป็นกะเทยได้5555555,,0,0,0,0,0,0,1
140,"แม่ลูกตัวอย่าง! ""เขื่อน ภัทรดนัย"" สะท้อนพลังบวก ผ่านความรู้สึกของ ""คุณแม่"" หลังโดนเกรียนคีย์บอร์ดคอมเมนต์ด่าโง่ มีลูกเป็นกะเทย ชาวเน็ตชมทัศนคติดีทั้งแม่ลูก ยิ่งรักมากขึ้นไปอีก

https://t.co/tkBXfZgOsB

#SPRiNG #SPRiNGENT #สปริงบันเทิง #ข่าวบันเทิง #เขื่อนภัทรดนัย https://t.co/Z2nDt6tJaD",/SPRiNG/SPRiNGENT/สปริงบันเทิง/ข่าวบันเทิง/เขื่อนภัทรดนัย,0,0,0,0,0,0,1
141,เวลากะเทยอีกครั้ง ใครบอกจะไปเที่ยงนะ 555555555555555555555555,,1,0,0,0,0,0,0
142,มีคนนึงเหมือนกะเทยลูกเจี๊ยบมาก,,1,0,0,0,1,0,0
143,@Ladypurely กะเทยน้อยคึจะเคียวเเทะ,,0,0,0,0,0,0,1
144,ไม่มีคนเล็งกุเลยเหรอ กะเทยเศร้า บ้านพักคนชราอยู่ไม่ไกล,,0,0,0,0,0,0,1
145,พวกกะเทยเป็นไรชอบแกล้งเทรเช่อ,,1,0,0,0,0,0,0
146,"คณะกุค่อนคณะเป็นกะเทย แล้วพวกชีที่ตั้งใจมาหาแฟนในคณะก็หันมาคุยกันว่า ""มึง เราจะเป็นกะเทยทั้งคณะเลยเหรอ แล้วกุจะทำไง"" ฮือ55555",,0,0,0,0,0,0,1
147,ละบทจะชวนกันไปคือไปเลย ไม่มีห้ามกัน นั่งเครื่องลงอุดร แล้วขับรถไปต่อกัน ทางเข้าวัดก็เดินขึ้นเขากันสุด ตื่นตี4ทุกวัน ทริปกะเทยง่วง 😂😂 https://t.co/8m6uRMVecD,,0,0,0,0,0,0,1
148,อ่าวนึกว่าเป็นกะเทยมาตลอดเป็นทอมหรอ,,1,0,0,0,1,0,0
149,ส่วนกะเทยอวดผัว https://t.co/Ea3xS42M1N,,1,0,0,0,0,0,0
150,ทุกคน เราตามหาคลิป ฟิล์มมีบ้าน ฟิล์มมีรถ ดั้งนั้นจะมาเป้นกะเทยเหมือนกัรไม่ได้ หามานานแล้ว 😭😭😭😭😭  #ตามหารีแอคชั่นวิดีโอ,/ตามหารีแอคชั่นวิดีโอ,0,0,0,0,0,0,1
